STA,X,Y,Z,lat_dms,lng_dms,h,MSL_TGM17
KKJN,-1042150.32366,6130097.95855,1415474.66957,12°54′28.0513″,99°38′54.0642″,48.46,79.728
KKOI,-1177854.33304,6060476.18746,1595852.10128,14°35′10.9955″,100°59′54.0016″,-0.897,28.944
KKOR,-1166142.79071,6001730.32158,1813679.04138,16°37′40.5657″,100°59′44.2561″,911.005,942.097
KLNG,-1260306.009,6092119.71188,1401768.01227,12°46′51.0169″,101°41′17.4253″,-11.084,13.964
KMCE,-1522611.51733,5922257.98067,1808079.64645,16°34′37.7919″,104°25′06.4585″,159.741,183.972
KNKN,-1359634.01558,5966157.83076,1793620.7535,16°26′27.4213″,102°50′16.617″,138.654,167.696
KNSN,-1430048.12444,5950286.08551,1791563.75882,16°25′17.752″,103°30′49.5152″,128.765,155.706
KNSW,-1304888.2403,5994466.17419,1739513.91956,15°55′54.4144″,102°16′50.4645″,158.956,188.543
KNYM,-835485.65312,5981025.47543,2046761.00966,18°50′23.1271″,97°57′07.7534″,590.406,630.31
KOGD,-1356671.103,6098368.04827,1280387.71027,11°39′29.0259″,102°32′31.3496″,35.986,55.826
KPNG,-1091258.781,6191726.67646,1069785.41155,09°43′13.6946″,99°59′43.5324″,-11.981,11.653
KSKS,-1297233.82582,6014497.4791,1675341.90925,15°19′46.5255″,102°10′16.8979″,160.718,189.652
KSSB,-1268451.53124,5991382.31498,1776614.82329,16°16′50.2176″,101°57′13.4301″,206.292,236.287
KSWS,-1442358.35975,5971380.79249,1710148.3908,15°39′22.0018″,103°34′45.8956″,115.406,142.178
KUKN,-1513557.99655,5981932.92222,1609518.48216,14°42′49.409″,104°11′56.6382″,137.662,159.353
LAGU,-1076507.03453,6240273.67455,759452.81008,06°53′04.1678″,99°47′15.8535″,-7.287,9.478
LCNT,-1070784.28609,6069037.6482,1637875.95286,14°58′45.166″,100°00′21.3983″,-9.198,24.034
LCPM,-1261224.63194,6015257.43606,1699797.7786,15°33′31.8827″,101°50′30.1922″,169.521,199.262
LGNT,-1539633.54326,5929778.81953,1768790.57114,16°12′25.7066″,104°33′18.4584″,142.802,166.538
LKPT,-1010663.1997,6031473.97633,1805406.56796,16°33′07.8987″,99°30′44.5957″,74.222,110.193
LKRI,-1021280.08024,6096688.01216,1565943.72521,14°18′25.6337″,99°30′34.3709″,54.263,88.188
LLEI,-1257391.85753,5974248.63808,1840688.82658,16°53′04.6812″,101°53′07.7729″,236.61,267.433
LLPG,-1046898.30263,5950358.4055,2037915.09017,18°45′22.9825″,99°58′42.3204″,252.123,288.608
LLPN,-945162.18398,6001074.40617,1937646.33478,17°48′06.748″,98°57′01.7752″,420.868,458.765
LLRI,-1145246.53707,6052214.06793,1649689.06279,15°05′23.0043″,100°42′54.9113″,5.371,36.784
LMDH,-1554648.96997,5914873.39086,1804870.47797,16°32′49.2561″,104°43′34.9643″,120.754,144.249
LMHP,-1338442.40089,6090317.18338,1336050.07668,12°10′20.7022″,102°23′40.5941″,-14.119,7.3
LNAN,-1128247.2483,5942056.5758,2018483.88462,18°34′16.9249″,100°45′03.7712″,163.186,197.711
LNBP,-1311175.43251,5951371.54314,1876583.42586,17°13′26.239″,102°25′28.6437″,209.369,239.64
LNKI,-1339229.21412,5922621.67878,1945761.56103,17°52′46.9156″,102°44′29.4114″,145.336,176.522
LNMA,-1356900.39673,6000717.55149,1677331.65557,15°20′53.993″,102°44′29.8059″,122.333,150.256
LNSN,-1111112.1381,6052437.93338,1672093.62289,15°17′57.9097″,100°24′09.2941″,53.573,86.048
LOMS,-1186805.23516,5992762.81482,1827068.99799,16°45′22.8104″,101°12′06.8308″,137.933,169.8
LPBI,-1075534.17119,6128876.27987,1395510.32232,12°43′22.2435″,99°57′11.8131″,-12.501,17.625
LPBR,-1140009.40208,6061593.30071,1618813.93815,14°48′03.2571″,100°39′04.5076″,9.64,41.016
LPCT,-1083659.54659,6020119.69093,1800763.95384,16°30′30.9765″,100°12′15.5665″,10.411,44.949
LPLK,-1145387.98693,5989310.65823,1864348.90581,17°06′29.9784″,100°49′35.2235″,183.867,216.883
LPMA,-1369203.28242,6007554.59952,1642821.64934,15°01′30.4078″,102°50′21.0335″,145.012,171.647
LPRE,-1035726.42269,5976349.14588,1966343.75062,18°04′31.0889″,99°49′54.9968″,110.717,147.318
LSN1,-1088138.31674,6196940.79346,1042730.24136,09°28′20.4883″,99°57′33.1165″,8.052,31.15
LSN2,-973259.75141,6226268.96151,980242.17226,08°54′00.0256″,98°53′03.4772″,29.682,54.168
LSNK,-1468571.71502,5901750.34572,1915781.34685,17°35′43.2413″,103°58′24.5694″,131.817,160.004
LSRN,-1477946.34986,5993065.71112,1601258.10508,14°38′11.535″,103°51′11.7309″,144.07,166.449
LSSK,-1561088.4591,5971825.26546,1601693.92505,14°38′26.2321″,104°38′59.2961″,139.169,158.866
LTRG,-1057745.07007,6230578.05142,858627.21594,07°47′18.9662″,99°38′06.2041″,39.603,58.93
LTRT,-1352218.01086,6085818.39286,1342643.79341,12°14′00.2022″,102°31′37.6978″,-8.695,12.401
LYST,-1499624.86215,5952705.81633,1725794.86245,15°48′10.8864″,104°08′23.6664″,108.96,134.188
MEJM,-879958.64468,5986692.66086,2011006.68697,18°29′57.4461″,98°21′42.4409″,437.901,476.902
MHDU,-1110093.28143,6095068.7867,1510924.19237,13°47′40.7504″,100°19′19.6505″,-14.384,16.757
MHGS,-834433.86739,5964347.37571,2093791.59078,19°17′25.6949″,97°57′51.1021″,203.496,243.946
MKRI,-1047824.36029,6083730.35911,1598072.08821,14°36′25.5444″,99°46′20.6216″,9.824,43.516
MNSN,-1136318.4728,6038710.87441,1704194.91722,15°36′01.5952″,100°39′24.7167″,36.899,68.707
MRBR,-1059873.89469,6110212.54831,1485747.87181,13°33′37.6836″,99°50′26.0774″,-21.767,10.12
MSAI,-1026415.15229,5891082.12682,2212260.27117,20°25′39.6694″,99°53′00.764″,378.029,415.59
MSOD,-910899.79628,6042331.67886,1822373.68674,16°42′42.9013″,98°34′22.6446″,180.799,219.136
MSSB,-1562766.52723,5945493.5347,1694592.79246,15°30′36.5984″,104°43′37.2178″,117.495,140.043
MWOG,-1015276.78628,6054806.65006,1723480.91417,15°46′52.7602″,99°31′07.9179″,97.519,132.524
NAMY,-1598658.76002,5966273.18248,1585475.63505,14°29′20.7755″,105°00′00.0218″,169.934,187.739
NANO,-1125627.53755,5951335.12059,1992890.43791,18°19′38.5073″,100°42′37.1801″,248.766,282.993
NDDG,-1363561.25098,6029293.9968,1566955.37021,14°18′58.1342″,102°44′36.2846″,231.266,255.582
